run_date,mindate,maxdate,tier,context,pathway,count,query
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Complement,96,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (complement OR C3 OR C5)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Sphingolipid/Ceramide,100,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Autophagy,482,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (autophagy OR mitophagy OR lysosome)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Hypoxia/HIF-1,91,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (hypoxia OR HIF-1 OR HIF1A)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Integrin/Src,42,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (integrin OR SRC)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,TGF-beta,26,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (""TGF-beta"" OR TGFB1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,mTOR,1080,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (mTOR OR PI3K OR AKT)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Wnt,536,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Notch,144,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,NF-kB,313,"(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Complement,317,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (complement OR C3 OR C5)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Sphingolipid/Ceramide,212,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Autophagy,1052,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (autophagy OR mitophagy OR lysosome)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Hypoxia/HIF-1,829,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (hypoxia OR HIF-1 OR HIF1A)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,Integrin/Src,556,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (integrin OR SRC)
2026-02-15,2015/01/01,2026/02/15,relaxed,tumor_metastasis,TGF-beta,450,"(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy) AND (""TGF-beta"" OR TGFB1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,mTOR,152,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (mTOR OR PI3K OR AKT)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Wnt,35,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Notch,15,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,NF-kB,57,"(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Complement,42,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (complement OR C3 OR C5)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Sphingolipid/Ceramide,29,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Autophagy,150,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (autophagy OR mitophagy OR lysosome)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Hypoxia/HIF-1,359,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (hypoxia OR HIF-1 OR HIF1A)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,Integrin/Src,31,(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (integrin OR SRC)
2026-02-15,2015/01/01,2026/02/15,relaxed,cardiac_repair,TGF-beta,40,"(extracellular vesicle OR exosome OR exosomes) AND (myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (""TGF-beta"" OR TGFB1)"
